"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"PACKAGE";"POPULARITY";"PRICE";"PURCHASE-URL";"SPICEPREFIX";
"C1";"100u";"CPOL-EU140CLH-0810";"140CLH-0810";"POLARIZED CAPACITOR, European symbol";"";"";"RUBYCON";"";"100YXF100MEFC12.5X20";"1144642";"";"4";"";"";"C";
"C2";"470u";"CPOL-EU140CLH-0810";"140CLH-0810";"POLARIZED CAPACITOR, European symbol";"";"";"";"";"";"unknown";"";"4";"";"";"C";
"C7";"22u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"unknown";"";"54";"";"";"C";
"C8";"22u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"unknown";"";"54";"";"";"C";
"C9";"22u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"unknown";"";"54";"";"";"C";
"C10";"22u";"C-EUC1206";"C1206";"CAPACITOR, European symbol";"";"";"";"";"";"unknown";"";"54";"";"";"C";
"D1";"";"DIODE-DO214AC";"DO214AC";"DIODE";"";"";"";"";"";"unknown";"";"14";"";"";"";
"F1";"";"195591812";"C1812K";"FUSE HOLDER";"";"";"";"";"";"";"";"";"";"";"";
"F2";"";"195591206";"C1206K";"FUSE HOLDER";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"L293DD";"L293DD";"SO20";"PUSH-PULL FOUR CHANNEL DRIVER WITH DIODES";"";"";"";"";"";"unknown";"";"2";"";"";"";
"IC2";"7805TV";"7805TV";"TO220V";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"unknown";"";"57";"";"";"";
"J1";"";"CONN_02";"1X02";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"unknown";"";"";"";"";"";
"L1";"DR125";"DR125";"DR125";"High Power Density, High Efficiency, Shielded Inductors";"";"";"";"";"";"unknown";"";"1";"";"";"L";
"R1";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R2";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R3";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R4";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R5";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R6";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R13";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R14";"4k7";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"R21";"10k";"R-EU_R1206";"R1206";"RESISTOR, European symbol";"";"";"";"";"";"unknown";"";"41";"";"";"R";
"U$1";"T-PLUG_CONNECTOR";"T-PLUG_CONNECTOR";"T_PLUG_CONNECTOR";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$2";"POLOLU_ENCODER";"POLOLU_ENCODER";"POLOLU_ENCODER";"";"";"";"";"";"";"";"";"";"";"";"";
"U$3";"POLOLU_ENCODER";"POLOLU_ENCODER";"POLOLU_ENCODER";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$4";"TDA9548";"TDA9548";"SOIC24L";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$5";"VL6180X";"VL6180X";"VL6180X";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$6";"VL6180X";"VL6180X";"VL6180X";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$7";"VL6180X";"VL6180X";"VL6180X";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U$8";"BNO055";"BNO055";"BNO055";"";"";"";"";"";"";"";"";"";"";"";"";
"U$9";"T-PLUG_CONNECTOR";"T-PLUG_CONNECTOR";"T_PLUG_CONNECTOR";"";"";"";"";"";"";"unknown";"";"";"";"";"";
"U1";"ESP32-DEVKITC-32D";"ESP32-DEVKITC-32D";"MODULE_ESP32-DEVKITC-32D";"Eval Board For Esp-Wroom-32 Check prices";"Warning";" EVAL BOARD FOR ESP-WROOM-32 ";"Espressif Systems";"ESP32-DEVKITC-32D";"";"";"None";"";"None";"https://pricing.snapeda.com/search/part/ESP32-DEVKITC-32D/?ref=eda";"";
"U2";"AP1509-SOP8L";"AP1509-SOP8L";"SOP-8L";"AP1509";"";"";"";"";"";"unknown";"";"";"";"";"";
